Frequency,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),MAG STD (Rad),% STD
1054.51,1488.960156,1,99.76209207,0.067001183,173.908125,0.116798374,105.5526228,0.42484375,-0.07515625,27.05625,0.201005348,0.112825314
1186.32,1484.496406,0.997002102,98.88502027,0.066412133,176.9075,0.118812783,103.3403691,0.42578125,-0.07421875,26.71875,0.201469244,0.113085701
1334.61,1476.765313,0.991809825,97.79403487,0.065679417,179.6028125,0.120622981,100.3010888,0.4646875,-0.0353125,12.7125,0.160909802,0.090319482
1501.44,1478.218125,0.992785548,95.93217728,0.064428975,182.3339063,0.12245721,98.82550893,0.45125,-0.04875,17.55,0.180101382,0.101091813
1689.12,1481.072188,0.994702364,97.73372928,0.065638915,189.1175,0.127013137,101.2868514,0.44453125,-0.05546875,19.96875,0.188620133,0.10587343
1900.26,1475.435,0.990916375,96.84669061,0.065043171,194.8667188,0.130874368,99.08780706,0.42703125,-0.07296875,26.26875,0.201665129,0.113195652
2137.79,1474.104063,0.990022504,96.12015701,0.064555224,201.6290625,0.135416023,98.10294803,0.4525,-0.0475,17.1,0.180774349,0.101469552
2405.02,1475.5475,0.990991931,97.18514607,0.065270481,209.3603125,0.140608405,99.44240631,0.4415625,-0.0584375,21.0375,0.19828806,0.111300086
2705.64,1473.453438,0.989585538,97.48592215,0.065472485,220.1204688,0.14783503,99.31513655,0.46640625,-0.03359375,12.09375,0.174113329,0.097730688
3043.85,1476.755938,0.991803529,97.09203709,0.065207948,231.4135938,0.155419601,99.61466286,0.4609375,-0.0390625,14.0625,0.180050423,0.101063209
3424.33,1475.7125,0.991102746,97.04947253,0.065179362,246.0710938,0.16526372,99.34495042,0.47984375,-0.02015625,7.25625,0.162934325,0.091455857
3852.37,1471.727031,0.988426067,96.76010341,0.064985019,263.48125,0.176956548,98.28518555,0.4759375,-0.0240625,8.6625,0.174070947,0.097706899
4333.92,1467.871875,0.985836907,96.97240902,0.065127605,282.18625,0.189519007,97.89274961,0.5084375,0.0084375,-3.0375,0.127680389,0.071667645
4875.66,1465.827188,0.984463675,96.11262234,0.064550164,303.7907813,0.204028818,96.78013658,0.49890625,-0.00109375,0.39375,0.155615697,0.087347874
5485.12,1462.665156,0.982340024,94.89115056,0.063729812,328.3095313,0.220495847,95.24351546,0.50546875,0.00546875,-1.96875,0.154580124,0.086766602
6170.76,1458.432031,0.979497017,95.05675662,0.063841034,356.9065625,0.239701889,95.13887496,0.52265625,0.02265625,-8.15625,0.145069684,0.081428344
6942.1,1451.819219,0.975055788,94.03855461,0.0631572,389.3478125,0.261489746,94.07618992,0.5390625,0.0390625,-14.0625,0.11462456,0.064339342
7809.86,1445.495625,0.970808802,94.54468763,0.063497124,426.8860938,0.286700817,94.97061099,0.541875,0.041875,-15.075,0.13195568,0.074067388
8786.1,1434.742344,0.963586794,93.72387082,0.062945855,466.3153125,0.313181861,95.7796379,0.5425,0.0425,-15.3,0.131945155,0.074061479
9884.36,1423.647813,0.9561356,92.09076464,0.061849046,515.16,0.345986424,97.11504887,0.55390625,0.05390625,-19.40625,0.131567077,0.073849263
11119.9,1410.376094,0.947222186,91.42791354,0.061403868,565.63,0.379882563,101.5096937,0.581875,0.081875,-29.475,0.09672207,0.054290585
12509.89,1393.210625,0.935693691,90.96425029,0.061092468,620.8389063,0.416961397,109.6742046,0.5990625,0.0990625,-35.6625,0.101367143,0.056897888
14073.63,1373.647031,0.922554593,90.09664921,0.060509778,686.2695313,0.460905235,121.0428645,0.60046875,0.10046875,-36.16875,0.119502005,0.067077077
15832.83,1348.616719,0.905743994,88.67419093,0.059554442,756.0184375,0.507749273,138.094701,0.6128125,0.1128125,-40.6125,0.096452451,0.054139247
17811.93,1319.55,0.886222505,88.28509943,0.059293124,826.5645313,0.55512871,161.2462827,0.61890625,0.11890625,-42.80625,0.101639219,0.057050605
20038.43,1284.26625,0.862525599,85.2743625,0.057271084,908.6884375,0.610283918,190.3797195,0.65,0.15,-54,0.109833929,0.061650338
22543.23,1242.63625,0.834566489,83.13016887,0.055831023,986.3921875,0.662470506,227.570647,0.644375,0.144375,-51.975,0.13906576,0.078058311
25361.13,1195.577969,0.802961694,81.23475918,0.054558048,1073.5725,0.721021644,271.3472828,0.70140625,0.20140625,-72.50625,0.096178854,0.053985675
28531.27,1141.769375,0.766823323,79.0971356,0.053122399,1160.256719,0.779239601,322.5589742,0.6921875,0.1921875,-69.1875,0.099959813,0.056107946
32097.68,1081.676719,0.726464516,76.60784354,0.051450567,1242.229375,0.834293228,380.5930217,0.745,0.245,-88.2,0.103647755,0.058178007
36109.89,1014.489063,0.681340638,74.35629822,0.049938407,1324.068438,0.889257132,446.2296317,0.7453125,0.2453125,-88.3125,0.06306884,0.035400857
40623.63,942.0195313,0.632669402,72.90342796,0.048962645,1407.317969,0.94516832,517.6201714,0.7909375,0.2909375,-104.7375,0.106974537,0.060045346
45701.59,866.1620313,0.581722773,70.87858864,0.047602744,1486.357813,0.998252241,592.5721953,0.8478125,0.3478125,-125.2125,0.122208107,0.068596026
51414.29,784.6445313,0.526974834,66.89291556,0.044925927,1549.588125,1.040718328,673.1673026,0.83921875,0.33921875,-122.11875,0.140173415,0.078680044
57841.07,701.8809375,0.471390006,66.05919608,0.044365993,1602.102188,1.075987279,755.4926646,0.86546875,0.36546875,-131.56875,0.081570491,0.045785927
65071.2,625.3984375,0.420023622,67.28234079,0.045187469,1660.487031,1.115199103,831.8071595,0.954375,0.454375,-163.575,0.105948101,0.059469202
